"Syntaxon","EVCcode","Name","VerbalDiagnosis"
"KD01A","CYM-01A","Cymbalario-Asplenion Segal 1969","Fern-rich chasmophytic vegetation of sunny walls of the atlantic to subcontinental regions of cool-temperate Europe"
"KD01B","CYM-01B","Galio valantiae-Parietarion judaicae Rivas-Mart. ex O. de Bolòs 1967","Thermomediterranean chasmophytic vegetation of limestone walls of the Iberian Peninsula and the Western Tyrrhenian archipelago"
"KD01C","CYM-01C","Artemisio arborescentis-Capparidion spinosae Biondi, Blasi et Galdenzi in Biondi et al. 2014","Thermomediterranean chasmophytic vegetation of limestone walls of the Apennine Peninsula, Corsica, Sardinia, Sicily and Malta"
"KD01D","CYM-01D","Parietario judaicae-Hyoscyamion aurei S. Brullo et Guarino 1999","Thermomediterranean chasmophytic vegetation of limestone walls of the Eastern Mediterranean"
"KE","THL","Thlaspietea rotundifolii Br.-Bl. 1948","Vegetation of scree habitats and pebble alluvia of the temperate, boreal and oromediterranean Europe and the Arctic archipelagos"
"KE01","THL-01","Thlaspietalia rotundifolii Br.-Bl. in Br.-Bl. et Jenny 1926","Alpine and subalpine calcareous scree vegetation of Europe and Greenland"
"KE01A","THL-01A","Thlaspion rotundifolii Jenny-Lips 1930","Alpine and subalpine vegetation of calcareous scree vegetation of the Alps"
"KE01B","THL-01B","Papaverion tatrici Pawłowski et al. 1928 corr. Valachovič 1995","Alpine and subalpine vegetation of calcareous scree vegetation of the Western Carpathians"
"KE01C","THL-01C","Papavero-Thymion pulcherrimi Pop 1968","Alpine calcareous scree vegetation of the Eastern and Southern Carpathians"
"KE01D","THL-01D","Iberidion spathulatae Br.-Bl. 1948","Pyrenean oro-cryotemperate calcareous scree vegetation"
"KE01E","THL-01E","Linarion filicaulis Rivas-Mart. ex Fernández Prieto 1983","Orocantabrian and Castilian-Cantabrian montane calcareous scree vegetation"
"KE01F","THL-01F","Saxifragion praetermissae Rivas-Mart. 1977","Orocantabrian and Pyrennean vegetation of wet screes with long-lasting snow cover"
"KE01G","THL-01G","Platycapno saxicolae-Iberidion granatensis Rivas Goday et Rivas-Mart. 1963","Southern Iberian supra-oromediterranean calcareous scree vegetation"
"KE01H","THL-01H","Festucion dimorphae Bonin 1978","Vegetation of lower montane to subalpine calcareous screes of the Central and Southern Apennines"
"KE01I","THL-01I","Thlaspion stylosi Feoli-Chiapella et Feoli 1977","Vegetation of alpine calcareous screes of the Central and Southern Apennines"
"KE01J","THL-01J","Saxifragion prenjae Lakušić 1968","Subalpine chionophilous calcareous scree communities of the Southern and Central Dinarides"
"KE01K","THL-01K","Bunion alpini Lakušić 1968","Subalpine chionophilous calcareous scree communities of the Northern Dinarides"
"KE01L","THL-01L","Veronico-Papaverion degenii Mucina et al. 1990","Alpine communities on marble and limestone screes of the Pirin Mountains (Bulgaria)"
"KE01M","THL-01M","Arenarion norvegicae Nordhagen 1935","Vegetation of base-rich and neutral screes and moraines of Scandinavia and Greenland"
"KE02","THL-02","Arabidetalia caeruleae Rübel ex Nordhagen 1937","Vegetation of snow-beds on stabilised calcareous screes of the arctic zone and the alpine and subnival belts of European mountains"
"KE02A","THL-02A","Saxifrago oppositifoliae-Oxyrion digynae Gjaerevoll 1950","Vegetation of herb-rich snow-beds on stabilised calcareous soils in the boreo-montane belt of Scandinavia and the Arctic archipelago"
"KE02B","THL-02B","Ranunculo-Poion alpinae Gjaerevoll ex Daniëls in Mucina et al. 2016","Vegetation of grassy snow-beds on stabilised calcareous soils in the boreo-montane belt of Scandinavia and the Arctic archipelago"
"KE02C","THL-02C","Arabidion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926","Vegetation of snow-beds on stabilised calcareous screes n the alpine and subnival belts of European mountains"
"KE03","THL-03","Drabetalia hoppeanae Zollitsch in Merxmüller et Zollitsch 1967","Subnival and alpine vegetation on lime-rich shale screes and congelifracted slopes of the Alps and the Pyrenees"
"KE03A","THL-03A","Drabion hoppeanae Zollitsch in Merxmüller et Zollitsch 1967","Subnival and alpine vegetation on lime-rich shale screes and congelifracted slopes of the Alps"
"KE03B","THL-03B","Androsacion ciliatae Rivas-Mart. 1988","Subnival and alpine vegetation of summit screes of the Central Pyrenees"
"KE04","THL-04","Arabido alpinae-Petasitetalia paradoxi Mucina et Valachovič ined.","Vegetation of humid calcareous screes and boulder fields in the montane to subalpine belts of the nemoral mountain ranges of Europe"
"KE04A","THL-04A","Petasition paradoxi Zollitsch ex Lippert 1966","Vegetation of humid calcareous fine-grained screes in the montane and subalpine belts of the Alps"
"KE04B","THL-04B","Arabidion alpinae Béguin in Richard 1971","Vegetation of humid stable coarse-grained calcareous screes and boulder fields in the nemoral mountain ranges of Central Europe"
"KE04C","THL-04C","Petasition doerfleri Lakušić 1968","Vegetation of humid stable coarse-grained calcareous screes and boulder fields of the nemoral mountains of the Central Balkans"
"KE05","THL-05","Stipetalia calamagrostis Oberd. et Seibert in Oberd. 1977","Thermophilous calcareous scree vegetation in the colline to montane belts of Central and Western Europe"
"KE05A","THL-05A","Pimpinello tragium-Gouffeion arenarioidis Br.-Bl. in Br.-Bl. et al. 1952","Vegetation of calcareous supramediterranean screes of Southern France and Catalonia"
"KE05B","THL-05B","Leontodontion hyoseroidis Duvigneaud et al. 1970","Vegetation of low-altitude fine calcareous screes of Eastern France"
"KE05C","THL-05C","Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950","Vegetation of thermophilous low-altitude calcareous screes of Central and Western Europe"
"KE06","THL-06","Androsacetalia alpinae Br.-Bl. in Br.-Bl. et Jenny 1926","Arctic-alpine and oromediterranean vegetation of siliceous screes and moraines of Europe, the Arctic Ocean islands and Greenland"
"KE06A","THL-06A","Antitrichio-Rhodiolion roseae Hadač 1971","Arctic herb-rich vegetation on damp coarse gravels and deep humus-rich soils over siliceous substrates of Iceland"
"KE06B","THL-06B","Androsacion alpinae Br.-Bl. in Br.-Bl. et Jenny 1926","Vegetation of siliceous screes and moraines in the alpine and subnival belts of the Alps and the Western Carpathians"
"KE06C","THL-06C","Veronicion baumgartenii Coldea 1991","Vegetation of siliceous screes and moraines in the alpine and subnival belts of the Eastern and Southern Carpathians"
"KE06D","THL-06D","Polygono alpini-Poion laxae D. Lakušić et Mucina ined.","Vegetation of siliceous screes and moraines in the alpine and subnival belts of the Dinarides"
"KE06E","THL-06E","Dryopteridion oreadis Rivas-Mart. 1977 corr. Rivas-Mart. et al. 1984","Vegetation of montane to subalpine siliceous screes and moraines of the Pyrenees and the Apennines"
"KE06F","THL-06F","Senecionion leucophylli Br.-Bl. 1948","Vegetation of mobile fine-grained siliceous screes in alpine belt of the Pyrenees"
"KE06G","THL-06G","Linario saxatilis-Senecionion carpetani Rivas-Mart. 1964","Vegetation of the siliceous screes and moraines at high altitudes of the mountain ranges of the Central and Northern Iberian Peninsula"
"KE06H","THL-06H","Holcion caespitosi Quézel 1953","Vegetation of oromediterranean siliceous screes and moraines of the Sierra Nevada (Southern Iberian Peninsula)"
"KE07","THL-07","Galeopsietalia segetum Oberd. et Seibert in Oberd. 1977","Thermophilous silicicolous scree vegetation in the colline to montane belts of Europe"
"KE07A","THL-07A","Galeopsion Oberd. 1957","Colline-submontane silicicolous scree vegetation of Central Europe"
"KE07B","THL-07B","Galeopsion pyrenaicae Rivas-Mart. 1977","Submontane-montane silicicolous scree vegetation of the Pyrenees"
"KE08","THL-08","Epilobietalia fleischeri Moor 1958 nom. conserv. propos.","Vegetation of montane to subalpine riverine gravel terraces of the nemoral and boreal European mountain ranges and the Caucasus"
"KE08A","THL-08A","Calamagrostion neglectae Nordhagen ex de Molenaar 1976","Vegetation of boreal-subalpine and subarctic riverine gravel terraces of the Alps, Scandinavia and Greenland"
"KE08B","THL-08B","Calamagrostion pseudophragmitis Rivas-Mart. et al. 1984","Vegetation of montane-subalpine riverine gravel terraces of the Pyrenees and the Cantabrian Mountains"
"KE08C","THL-08C","Epilobion fleischeri G. Br.-Bl. ex Br.-Bl. 1950","Vegetation of the montane-subalpine riverine gravel terraces of the Alps and the Carpathians"
"KE08D","THL-08D","Murbeckiello huetii-Epilobion dodonaei Belonovskaya et al. 2014","Vegetation of montane-subalpine riverine gravel terraces of the Caucasus"
"KE09","THL-09","Andryaletalia ragusinae Rivas Goday in Rivas Goday et Esteve 1972","Vegetation of riverine gravel terraces in the thermo- to supramediterranean belts of southwestern Europe"
"KE09A","THL-09A","Glaucion flavi Br.-Bl. ex Tchou 1948","Pioneer ephemeral herbaceous vegetation on eutrophic gravel deposits of the terraces of summer-low rivers of the Mediterranean"
"KE09B","THL-09B","Scrophularion sciophilae O. de Bolòs 1957","Meso-supramediterranean herbaceous vegetation on calcareous rocky slopes and screes of the Eastern Iberian Peninsula"
"KE10","THL-10","Violetalia calaminariae Br.-Bl. et Tx. ex Ernst 1965","Heavy-metal tolerant vegetation on mining spoil heaps of cool-temperate Europe"
"KE10A","THL-10A","Thlaspion calaminarii Ernst 1965","Heavy-metal tolerant vegetation on mining spoil heaps of Western Europe"
"KE10B","THL-10B","Armerion halleri Ernst 1965","Heavy-metal tolerant vegetation on mining spoil heaps of Central Europe"
"KF","LAM","Lamio tomentosi-Chaerophylletea humilis Belonovskaya et al. 2014","High-altitude siliceous scree vegetation of the Caucasus"
"KF01","LAM-01","Chaerophylletalia humilis Onipchenko 2002","Subnival and upper alpine vegetation on siliceous screes, moraines, stone fields and floodplain pebble beds of the Caucasus"
"KF01A","LAM-01A","Chaerophyllion humilis Onipchenko 2002","Subnival and upper alpine vegetation on siliceous screes and boulder fields of the Caucasus"
"KF01B","LAM-01B","Scrophulario minimae-Symphyolomion graveolentis Belonovskaya et al. 2014","Lower alpine and subalpine vegetation on siliceous screes and boulder fields of the Caucasus"
"KG","PHA","Phagnalo saxatilis-Rumicetea indurati (Rivas Goday et Esteve 1972) Rivas-Mart. et al. 1973","Rupicolous chamaephytic and hemicryptophytic vegetation of rock shelves, broad crevices and gravel slopes of the Iberian Peninsula and Western Maghreb"
"KG01","PHA-01","Phagnalo saxatilis-Rumicetalia indurati Rivas Goday et Esteve 1972","Rupicolous chamaephytic and hemicryptophytic vegetation of rock shelves, broad crevices and gravel slopes of the Iberian Peninsula and Western Maghreb"
"KG01A","PHA-01A","Gymnogrammo-Scrophularion Rivas Goday 1964","Meso-oromediterranean rupicolous vegetation of exposed siliceous rock-shelves of the Central and Western Iberian Peninsula"
"KG01B","PHA-01B","Saxifragion continentalis Rivas-Mart. in Rivas-Mart. et al. 1986","Supramediterranean rupicolous vegetation of siliceous shady crevices of the Central and Western Iberian Peninsula"
"KG01C","PHA-01C","Sesamoidion suffruticosae Ortiz et Pulgar 2000","Rupicolous vegetation of siliceous crevices and gravel slopes of temperate Southern Galicia and Northern Portugal"
"KG01D","PHA-01D","Melico minutae-Phagnalion intermedii Rivas Goday et Esteve 1972","Thermo-mesomediterranean rupicolous vegetation of dolomitic crevices or gravel slopes of southeastern Spain"
"KG01E","PHA-01E","Calendulo lusitanicae-Antirrhinion linkiani Ladero et al. 1991","Rupicolous vegetation of calcareous crevices and rock shelves of Central and Western Portugal"
"KG01F","PHA-01F","Andryalion ragusinae Rivas Goday et Esteve 1972","Thermo-supramediterranean rupicolous vegetation of dolomite and ultramafic gravel slopes and screes of the Southern Iberian Peninsula"
"KG01G","PHA-01G","Festucion duriotaganae Capelo et al. 1998","Thermo-mesomediterranean silicicolous grasslands on gravelly river beds of the Western Iberian rivers"
"KH","DRY","Drypidetea spinosae Quézel 1964","Vegetation of scree habitats and pebble alluvia of in the submediterranean montane and supra-oromediterranean belts of the Central and Eastern Mediterranean and the Black Sea seaboards"
"KH01","DRY-01","Drypidetalia spinosae Quézel 1964","Montane submediterranean and oromediterranean scree vegetation of the Balkans, Crete and Crimea"
"KH01A","DRY-01A","Peltarion alliaceae Horvatić in Domac 1957","Limestone scree vegetation in the submontane and montane belts of the Central Balkans"
"KH01B","DRY-01B","Silenion marginatae Lakušić 1968","Limestone scree vegetation in the montane to subalpine belts of the Southern Dinarides"
"KH01C","DRY-01C","Rumici scutati-Heracleion stevenii Ryff 2007","Limestone scree vegetation in the montane belt of Crimea"
"KH01D","DRY-01D","Silenion caesiae Quézel 1964","Limestone scree vegetation in the supra- and oromediterranean belts of peninsular Hellas"
"KH01E","DRY-01E","Campanulion hawkinsianae Quézel 1967","Ultramafic scree vegetation in the supra- and oromediterranean belts of the Pindos Mountains (Sterea Hellas)"
"KH01F","DRY-01F","Alysso sphaciotici-Valantion apricae Bergmeier 2002","Limestone and dolomite scree vegetation in the oromediterranean belt of Crete"
"KH02","DRY-02","Onosmo polyphyllae-Ptilostemonetalia Korzhenevskii 1990","Thermophilous submediterranean herb-rich vegetation on eroding slopes of the Black Sea seaboards of Crimea"
"KH02A","DRY-02A","Ptilostemonion echinocephali Korzhenevskii 1990","Thermophilous submediterranean herb-rich vegetation on eroding flysch slopes of Crimea"
"KH02B","DRY-02B","Gypsophilo glomeratae-Cephalarion coriaceae Ryff in Golub et al. 2011","Thermophilous submediterranean herb-rich vegetation on eroding marl and limestone slopes of Crimea"
"KH02C","DRY-02C","Austrodauco-Salvion verticillati Korzhenevskii et Kliukin 1990","Thermophilous submediterranean herb-rich vegetation on eroding magmatic bedrocks and hornstones of Crimea"
"KH03","DRY-03","Scrophulario-Helichrysetalia S. Brullo 1984","Vegetation of thermophilous low and mid-altitudes (sub)mediterranean screes and riverine gravel banks of Sardinia, Calabria and Sicily"
"KH03A","DRY-03A","Linarion purpureae S. Brullo 1984","Montane scree vegetation of the Southern Apennines and Sicily"
"KH03B","DRY-03B","Arrhenatherion sardoi Gamisans 1989","Montane grassy screes of Corsica"
"KH03C","DRY-03C","Ptilostemono casabonae-Euphorbion cupanii Angiolini et al. 2005","Vegetation of ancient toxic mining dumps of Sardinia"
"KH03D","DRY-03D","Euphorbion rigidae S. Brullo et Spampinato 1990","Siculo-Calabrian low-altitude pioneer vegetation on riverine gravel banks"
"LA","HER","Salicetea herbaceae Br.-Bl. 1948","Arctic and alpine-subnival snow-bed vegetation at high altitudes of the mountain ranges of Eurasia and the Arctic Ocean islands"
"LA01","HER-01","Salicetalia herbaceae Br.-Bl. in Br.-Bl. et Jenny 1926","Arctic and alpine-subnival snow-bed vegetation at high altitudes of the mountain ranges of Eurasia and the Arctic Ocean islands"
"LA01A","HER-01A","Salicion herbaceae Br.-Bl. in Br.-Bl. et Jenny 1926","Snow-bed communities on siliceous substrates in the alpine and nival belts of the mountain ranges of the nemoral zone of Europe"
"LA01B","HER-01B","Salici herbaceae-Arabidion caeruleae Englisch 1999","Snow-bed communities on acidified calcareous substrates in the alpine and nival belts of the mountain ranges in the nemoral zone of Europe"
